# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=300 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=10000 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18160373/1.258875326 	18140962/1.629811194 	18140866/1.821685869 	18140866/1.909669145 	18140866/1.975946386 	18140866/2.042061429 	18140866/2.117519383 	18140866/2.171908494 	18140866/2.218293389 	18140866/2.266383528 	18140866/2.31254256 	18140866/2.357792694 	| 	18140866/1.689126188@12
18140866/3.303510689 	18139958/3.402573558 	18139925/3.492653704 	18139925/3.557198716 	18139925/3.611249767 	18139925/3.663799661 	18139925/3.713231662 	18139925/3.763481651 	18139925/3.812776631 	18139925/3.864204595 	18139925/3.918319247 	18139925/3.966328879 	| 	18139925/3.456849155@16
18139925/4.932377285 	18139857/5.027341801 	18139001/5.125165183 	18139001/5.190480269 	18139001/5.250337832 	18139001/5.306732337 	18139001/5.360366246 	18139001/5.41346151 	18139001/5.463492428 	18139001/5.511571779 	18139001/5.560109176 	18139001/5.606617086 	| 	18139001/5.037963204@11
18139001/6.56648717 	18137430/6.655219989 	18137430/6.738810448 	18137430/6.799653268 	18137430/6.857005852 	18137430/6.915460472 	18137430/6.971914368 	18137430/7.035084381 	18137430/7.093566139 	18137430/7.14639764 	18137430/7.200321809 	18137430/7.254212679 	| 	18137430/6.655219989@10
18137430/8.187917201 	18137430/8.276785301 	18137430/8.355787077 	18137430/8.416741067 	18137430/8.476732579 	18137430/8.531887295 	18137430/8.587352506 	18137430/8.642239818 	18137430/8.695400569 	18137430/8.747337511 	18137430/8.798803716 	| 	18137430/6.655219989@10
18137430/9.776036634 	18137430/9.882734113 	18137430/10.00049756 	18137430/10.101315408 	18137430/10.194138634 	18137430/10.285956255 	18137430/10.382072697 	18137430/10.472115486 	18137430/10.557257902 	18137430/10.637090672 	18137430/10.722447271 	| 	18137430/6.655219989@10
18137430/11.804701189 	18137430/11.889398944 	18137430/11.958539026 	18137430/12.01093427 	18137430/12.061768223 	18137430/12.117449419 	18137430/12.167952553 	18137430/12.215468975 	18137430/12.265662851 	18137430/12.313030305 	18137430/12.361200709 	| 	18137430/6.655219989@10
18137430/13.324096701 	18137430/13.419246231 	18137430/13.523662953 	18137430/13.609629244 	18137430/13.68391998 	18137430/13.755786528 	18137430/13.824525588 	18137430/13.893914981 	18137430/13.960880159 	18137430/14.02656714 	18137430/14.091882323 	18137430/14.152879536 	| 	18137430/6.655219989@10
18137430/15.128589387 	18137430/15.231832885 	18137430/15.336581957 	18137430/15.433848752 	18137430/15.521569062 	18137430/15.605807376 	18137430/15.691334264 	18137430/15.783447119 	18137430/15.849371587 	18137430/15.90938464 	18137430/15.96444836 	18137430/16.01662748 	18137430/16.065407105 	18137430/16.115038596 	18137430/16.163544851 	18137430/16.210443574 	18137430/16.257326725 	18137430/16.303452202 	18137430/16.349102266 	| 	18137430/6.655219989@10
18137430/17.294244125 	18137430/17.386948295 	18137430/17.47074859 	18137430/17.538592102 	18137430/17.600828604 	18137430/17.657723291 	18137430/17.711138478 	18137430/17.759904775 	18137430/17.804811318 	18137430/17.849462468 	18137430/17.893782448 	| 	18137430/6.655219989@10
18137430/18.89861846 	18137430/19.001745604 	18137430/19.090200971 	18137430/19.175223121 	18137430/19.234842777 	18137430/19.289471452 	18137430/19.3409013 	18137430/19.390376195 	18137430/19.43999556 	18137430/19.489233027 	18137430/19.538231294 	18137430/19.586377295 	18137430/19.63527994 	| 	18137430/6.655219989@10
