# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=300 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=10000 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18158248/1.142548813 	18139831/1.498602798 	18139758/1.659691485 	18139758/1.719213647 	18139758/1.772399803 	18139758/1.826043072 	18139758/1.885850104 	18139758/1.93626205 	18139758/1.987821203 	18139758/2.039553497 	18139758/2.090410795 	18139758/2.149416403 	| 	18139758/1.546527153@12
18139758/2.983594666 	18139758/3.068307886 	18139758/3.142136988 	18139758/3.198791018 	18139758/3.249060223 	18139758/3.296810647 	18139758/3.343526533 	18139758/3.392459444 	18139758/3.440742981 	18139758/3.484755655 	18139758/3.528416103 	18139758/3.571247545 	| 	18139758/1.546527153@12
18139758/4.431697684 	18139758/4.520543162 	18139202/4.596168516 	18139202/4.656459488 	18139202/4.711396277 	18139202/4.758914378 	18139202/4.804975834 	18139202/4.848575784 	18139202/4.89126165 	18139202/4.933887423 	18139202/4.973321246 	18139202/5.013583488 	| 	18139202/4.589806744@19
18139202/5.887196107 	18139202/5.96727436 	18137783/6.045077958 	18137783/6.098960866 	18137783/6.153566256 	18137783/6.206705692 	18137783/6.254999702 	18137783/6.306129712 	18137783/6.354210726 	18137783/6.403912276 	18137783/6.453012976 	18137783/6.499869333 	| 	18137783/5.985465655@12
18137783/7.337839286 	18137783/7.438839781 	18137783/7.573769482 	18137783/7.685576321 	18137783/7.769933851 	18137783/7.82670367 	18137783/7.877781737 	18137783/7.924413846 	18137783/7.967269099 	18137783/8.010042256 	18137783/8.054863237 	18137783/8.099037592 	18137783/8.140926742 	18137783/8.180053174 	18137783/8.218942941 	| 	18137783/5.985465655@12
18137783/9.179883908 	18137783/9.276790364 	18137783/9.394778116 	18137783/9.48734978 	18137783/9.547643467 	18137783/9.597645488 	18137783/9.646082154 	18137783/9.69526974 	18137783/9.741649157 	18137783/9.788609157 	18137783/9.834917469 	| 	18137783/5.985465655@12
18137783/10.728598223 	18137783/10.83723952 	18137783/10.977664971 	18137783/11.118342494 	18137783/11.235875139 	18137783/11.32627939 	18137783/11.413915392 	18137783/11.503531849 	18137783/11.582131142 	18137783/11.649631743 	18137783/11.716945599 	18137783/11.782769533 	18137783/11.847625874 	| 	18137783/5.985465655@12
18137783/12.722088991 	18137783/12.819054274 	18137783/12.914512586 	18137783/13.000150769 	18137783/13.071510703 	18137783/13.138058688 	18137783/13.199808512 	18137783/13.25723661 	18137783/13.313859502 	18137783/13.368142927 	18137783/13.422081223 	18137783/13.472838766 	18137783/13.522043802 	| 	18137783/5.985465655@12
18137783/14.403968176 	18137783/14.486252057 	18137783/14.553193528 	18137783/14.608803848 	18137783/14.654701059 	18137783/14.701268126 	18137783/14.747143345 	18137783/14.792070309 	18137783/14.836424399 	18137783/14.881410911 	18137783/14.928236227 	18137783/14.971319218 	| 	18137783/5.985465655@12
18137783/15.855187056 	18137783/15.931655006 	18137783/15.986775698 	18137783/16.033663797 	18137783/16.078793507 	18137783/16.123625955 	18137783/16.166471103 	18137783/16.208062319 	18137783/16.250382855 	18137783/16.293555171 	18137783/16.335543106 	| 	18137783/5.985465655@12
18137783/17.226335116 	18137783/17.314468986 	18137783/17.392657157 	18137783/17.460028718 	18137783/17.516779967 	18137783/17.573218384 	18137783/17.625305025 	18137783/17.675056152 	18137783/17.726042224 	18137783/17.774045565 	18137783/17.822359784 	18137783/17.868579872 	| 	18137783/5.985465655@12
