# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=500 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=100 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18157950/1.55831233 	18142701/1.951401379 	18140927/2.080957133 	18140927/2.181518988 	18140927/2.268471727 	18140927/2.349594044 	18140927/2.432832528 	18140927/2.508876251 	18140927/2.584104364 	18140927/2.657762873 	18140927/2.729193694 	18140927/2.802920678 	| 	18140927/2.05692096@18
18140927/4.199921853 	18139493/4.360868089 	18139493/4.477214815 	18139493/4.567275455 	18139493/4.656881069 	18139493/4.744391463 	18139493/4.835729914 	18139493/4.920451949 	18139493/5.003565085 	18139493/5.085311757 	18139493/5.164332943 	| 	18139493/4.342719054@9
18139493/6.688087289 	18139493/6.840757962 	18139413/7.006705197 	18138326/7.159600928 	18138325/7.302277878 	18138325/7.413649255 	18138325/7.516030187 	18138325/7.612503794 	18138325/7.716236959 	18138325/7.876447794 	18138325/8.011358888 	18138325/8.116646211 	18138325/8.20850107 	18138325/8.304260276 	| 	18138325/7.219746279@34
18138325/9.735216364 	18138325/9.889440288 	18137585/10.04829572 	18137533/10.215204644 	18137533/10.356659916 	18137533/10.488820103 	18137533/10.59474766 	18137533/10.691859058 	18137533/10.786071539 	18137533/10.882608107 	18137533/10.992324012 	18137533/11.093976771 	18137533/11.180568555 	| 	18137533/10.066077839@21
18137533/13.120589121 	18137533/13.288503085 	18137533/13.450317346 	18137533/13.568691597 	18137533/13.679224755 	18137533/13.781248247 	18137533/13.893357262 	18137533/14.001407902 	18137533/14.097062461 	18137533/14.206781383 	18137533/14.321759701 	18137533/14.426117231 	| 	18137533/10.066077839@21
18137533/16.141199198 	18137533/16.302390795 	18137533/16.453031259 	18137533/16.576781246 	18137533/16.673504031 	18137533/16.766947174 	18137533/16.863681066 	18137533/16.956311611 	18137533/17.06698231 	18137533/17.151846405 	18137533/17.233361472 	18137533/17.320595158 	| 	18137533/10.066077839@21
18137533/18.934435636 	18137533/19.103511043 	18137533/19.264666573 	18137533/19.38878778 	18137533/19.511380719 	18137533/19.624499901 	18137533/19.732852587 	18137533/19.842511672 	18137533/19.945932538 	18137533/20.045791369 	18137533/20.148317241 	18137533/20.244538888 	| 	18137533/10.066077839@21
18137533/21.890468764 	18137533/22.049190334 	18137533/22.180627868 	18137533/22.281797762 	18137533/22.379101589 	18137533/22.472906403 	18137533/22.555757619 	18137533/22.64012616 	18137533/22.722321781 	18137533/22.80542249 	18137533/22.892376449 	18137533/22.980363933 	18137533/23.065473688 	18137533/23.148078649 	| 	18137533/10.066077839@21
18137533/24.738098055 	18137533/24.907046258 	18137533/25.072975491 	18137533/25.209437507 	18137533/25.328475625 	18137533/25.440435132 	18137533/25.542645676 	18137533/25.640428753 	18137533/25.738218413 	18137533/25.840341541 	18137533/25.939524955 	18137533/26.034941177 	| 	18137533/10.066077839@21
18137533/27.784643949 	18137533/27.963989188 	18137533/28.110654054 	18137533/28.229329671 	18137533/28.329119492 	18137533/28.427819402 	18137533/28.523005309 	18137533/28.616320993 	18137533/28.707964396 	18137533/28.798922295 	18137533/28.895941552 	18137533/28.994344691 	| 	18137533/10.066077839@21
18137533/30.946834295 	18137533/31.159113079 	18137533/31.408290489 	18137533/31.614700663 	18137533/31.778786034 	18137533/31.949237561 	18137533/32.09354823 	18137533/32.220219423 	18137533/32.347412981 	18137533/32.46862366 	18137533/32.590803101 	18137533/32.70699743 	18137533/32.821001918 	18137533/32.935860569 	18137533/33.046140448 	| 	18137533/10.066077839@21
