# [Initialization Information]
# Instance: TSP|Tnm100.tsp
# Swarm Params: N=500 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=100 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
1398494/0.326358097 	1398070/0.530552899 	1398070/0.650981056 	1398070/0.733333978 	1398070/0.80437505 	1398070/0.873565637 	1398070/0.907098552 	1398070/0.93686205 	1398070/0.957343481 	1398070/0.977022235 	1398070/0.996666829 	| 	1398070/0.379571591@2
1398070/1.229472867 	1398070/1.270962294 	1398070/1.292516033 	1398070/1.306291546 	1398070/1.315541886 	1398070/1.324230925 	1398070/1.333091195 	1398070/1.341998094 	1398070/1.353180082 	1398070/1.363420015 	1398070/1.372035195 	1398070/1.380532557 	| 	1398070/0.379571591@2
1398070/1.482703591 	1398070/1.514701168 	1398070/1.53398025 	1398070/1.544307199 	1398070/1.554033304 	1398070/1.563436704 	1398070/1.571907239 	1398070/1.58037843 	1398070/1.589347214 	1398070/1.598013967 	1398070/1.60860634 	| 	1398070/0.379571591@2
1398070/1.717395181 	1398070/1.749007281 	1398070/1.764102863 	1398070/1.772472555 	1398070/1.78068393 	1398070/1.789508647 	1398070/1.798370557 	1398070/1.808712669 	1398070/1.817280238 	1398070/1.825607263 	1398070/1.834095959 	| 	1398070/0.379571591@2
1398070/1.932773484 	1398070/1.968346733 	1398070/1.98831453 	1398070/1.999263495 	1398070/2.008243939 	1398070/2.017429047 	1398070/2.026027394 	1398070/2.034724615 	1398070/2.043409612 	1398070/2.05230922 	1398070/2.060995339 	| 	1398070/0.379571591@2
1398070/2.168170433 	1398070/2.199610291 	1398070/2.21554032 	1398070/2.225082226 	1398070/2.233607588 	1398070/2.242380396 	1398070/2.251019838 	1398070/2.259525086 	1398070/2.268161585 	1398070/2.276534594 	1398070/2.284690651 	| 	1398070/0.379571591@2
1398070/2.386106379 	1398070/2.417255716 	1398070/2.431619382 	1398070/2.441144678 	1398070/2.449679318 	1398070/2.458152098 	1398070/2.466909041 	1398070/2.475356085 	1398070/2.483842074 	1398070/2.492380779 	1398070/2.502301452 	| 	1398070/0.379571591@2
1398070/2.605104491 	1398070/2.637157098 	1398070/2.653861409 	1398070/2.664930778 	1398070/2.674366903 	1398070/2.683015218 	1398070/2.691297283 	1398070/2.699785596 	1398070/2.708235577 	1398070/2.716351399 	1398070/2.724495253 	| 	1398070/0.379571591@2
1398070/2.82680692 	1398070/2.859127959 	1398070/2.878406967 	1398070/2.889416861 	1398070/2.898328018 	1398070/2.907400565 	1398070/2.916317185 	1398070/2.924623524 	1398070/2.933332304 	1398070/2.941722678 	1398070/2.95053928 	| 	1398070/0.379571591@2
1398070/3.058748011 	1398070/3.090358093 	1398070/3.11026029 	1398070/3.12478069 	1398070/3.137323214 	1398070/3.14907131 	1398070/3.16084554 	1398070/3.171251359 	1398070/3.180790475 	1398070/3.191043823 	1398070/3.201233498 	| 	1398070/0.379571591@2
1398070/3.307225756 	1398070/3.340060935 	1398070/3.360889618 	1398070/3.372073465 	1398070/3.380543196 	1398070/3.389064205 	1398070/3.397638538 	1398070/3.406255216 	1398070/3.414770896 	1398070/3.423235659 	1398070/3.431706022 	| 	1398070/0.379571591@2
